序号,房屋编号,面积,总价,装修情况,均价,发布时间,关注人数
1,N101106251649,15平米,14.8万,毛坯,9867元/平米, 3个月以前发布,1人关注 
2,N101106043813,20平米,15.7万,毛坯,7850元/平米, 3个月以前发布,1人关注 
3,N101105461291,10平米,15.9万,简装,15900元/平米, 6个月以前发布,1人关注 
4,N101105980013,20平米,16万,毛坯,8000元/平米, 4个月以前发布,0人关注 
5,N101106638407,15平米,16万,毛坯,10667元/平米, 1个月以前发布,0人关注 
6,N101105200350,12平米,16万,简装,13334元/平米, 7个月以前发布,1人关注 
7,N101105200362,12平米,16万,毛坯,13334元/平米, 7个月以前发布,0人关注 
8,N101106102190,10平米,16万,毛坯,16000元/平米, 3个月以前发布,2人关注 
9,N101106467902,15平米,16万,毛坯,10667元/平米, 2个月以前发布,0人关注 
10,N101106505649,15平米,16万,毛坯,10667元/平米, 2个月以前发布,0人关注 
11,N101106586316,15平米,16万,毛坯,10667元/平米, 1个月以前发布,0人关注 
12,N101105853100,12平米,16万,毛坯,13334元/平米, 4个月以前发布,0人关注 
13,N101105496485,16平米,16.2万,毛坯,10125元/平米, 6个月以前发布,0人关注 
14,N101105524093,17平米,16.3万,简装,9589元/平米, 5个月以前发布,0人关注 
15,N101106515163,15平米,16.4万,毛坯,10934元/平米, 2个月以前发布,0人关注 
16,N101106659081,10平米,16.5万,毛坯,16500元/平米, 1个月以前发布,0人关注 
17,N101105060705,10平米,16.5万,其他,16500元/平米, 7个月以前发布,0人关注 
18,N101105784742,17平米,16.9万,毛坯,9942元/平米, 4个月以前发布,0人关注 
19,N101106341628,15平米,17万,毛坯,11334元/平米, 2个月以前发布,1人关注 
20,N101106481335,16平米,17万,毛坯,10625元/平米, 2个月以前发布,0人关注 
21,N101106756261,15平米,17万,其他,11334元/平米, 1个月以前发布,0人关注 
22,N101105524792,16平米,17万,简装,10625元/平米, 5个月以前发布,0人关注 
23,N101106366875,16平米,17万,毛坯,10625元/平米, 2个月以前发布,0人关注 
24,N101105524704,17平米,17万,简装,10000元/平米, 5个月以前发布,4人关注 
25,N101105524257,17平米,17万,毛坯,10000元/平米, 5个月以前发布,0人关注 
26,N101105768834,15平米,17万,毛坯,11334元/平米, 5个月以前发布,0人关注 
27,N101105420152,15平米,17万,毛坯,11334元/平米, 6个月以前发布,0人关注 
28,N101106751220,15平米,17.5万,其他,11667元/平米, 1个月以前发布,0人关注 
29,N101106123337,15平米,17.5万,其他,11667元/平米, 3个月以前发布,0人关注 
30,N101106501366,17平米,17.8万,毛坯,10471元/平米, 2个月以前发布,0人关注 
31,N101105809508,16平米,17.8万,其他,11125元/平米, 4个月以前发布,0人关注 
32,N101105524184,17平米,18万,简装,10589元/平米, 5个月以前发布,0人关注 
33,N101105370888,15平米,18万,其他,12000元/平米, 6个月以前发布,0人关注 
34,N101105420087,15平米,18万,毛坯,12000元/平米, 6个月以前发布,0人关注 
35,N101105494627,20平米,18万,毛坯,9000元/平米, 6个月以前发布,1人关注 
36,N101104847379,12平米,18.2万,毛坯,15167元/平米, 8个月以前发布,0人关注 
37,N101105264509,34平米,35万,毛坯,10295元/平米, 6个月以前发布,0人关注 
38,N101106646733,79.55平米,148万,平层/精装,18605元/平米, 1个月以前发布,16人关注 
39,N101103824879,80平米,150万,平层/精装,18750元/平米, 一年前发布,58人关注 
40,N101104567964,87平米,150万,平层/精装,17242元/平米, 9个月以前发布,34人关注 
41,N101103218197,79.4平米,150万,平层/简装,18892元/平米, 一年前发布,21人关注 
42,N101106268541,81平米,150万,简装,18519元/平米, 3个月以前发布,3人关注 
43,N101106767938,84.34平米,150万,平层/毛坯,17786元/平米, 1个月以前发布,1人关注 
44,N101105328807,80平米,150万,精装,18750元/平米, 6个月以前发布,1人关注 
45,N101106254395,86平米,153万,平层/简装,17791元/平米, 3个月以前发布,30人关注 
46,N101106075333,85.13平米,155万,平层/精装,18208元/平米, 3个月以前发布,21人关注 
47,N101105307151,84平米,157万,精装,18691元/平米, 6个月以前发布,2人关注 
48,N101106264874,87平米,158万,平层/毛坯,18161元/平米, 3个月以前发布,27人关注 
49,N101104403260,88.6平米,160万,平层/简装,18059元/平米, 10个月以前发布,52人关注 
50,N101105860131,80.04平米,160万,平层/简装,19991元/平米, 4个月以前发布,16人关注 
51,N101105989447,85.98平米,160万,平层/简装,18609元/平米, 4个月以前发布,19人关注 
52,N101106217970,79.55平米,160万,简装,20114元/平米, 3个月以前发布,1人关注 
53,N101106116441,94.25平米,160万,平层/简装,16977元/平米, 3个月以前发布,38人关注 
54,N101104929685,80平米,160万,平层/精装,20000元/平米, 8个月以前发布,6人关注 
55,N101105290196,86.64平米,164万,简装,18929元/平米, 6个月以前发布,0人关注 
56,N101106798233,85.77平米,165万,其他,19238元/平米, 5天以前发布,0人关注 
57,N101106361833,88.24平米,165万,平层/简装,18700元/平米, 2个月以前发布,14人关注 
58,N101106338269,90.03平米,165万,平层/精装,18328元/平米, 2个月以前发布,57人关注 
59,N101105073304,88.21平米,165万,平层/精装,18706元/平米, 7个月以前发布,45人关注 
60,N101105056912,88.28平米,165万,平层/简装,18691元/平米, 7个月以前发布,11人关注 
61,N101105855256,88.91平米,167万,平层/精装,18784元/平米, 4个月以前发布,44人关注 
62,N101106472204,88.24平米,168万,平层/精装,19039元/平米, 2个月以前发布,13人关注 
63,N101103230587,86.71平米,168万,平层/精装,19375元/平米, 一年前发布,32人关注 
64,N101105529704,85.66平米,170万,简装,19846元/平米, 5个月以前发布,4人关注 
65,N101106393542,89平米,170万,平层/精装,19102元/平米, 2个月以前发布,11人关注 
66,N101106691094,89平米,170万,平层/其他,19102元/平米, 1个月以前发布,7人关注 
67,N101105906771,88.2平米,170万,平层/其他,19275元/平米, 4个月以前发布,3人关注 
68,N101106222758,88.28平米,170万,平层/精装,19257元/平米, 3个月以前发布,6人关注 
69,N101103090329,89平米,170万,平层/精装,19102元/平米, 一年前发布,14人关注 
70,N101106566806,86.78平米,170万,平层/精装,19590元/平米, 2个月以前发布,20人关注 
71,N101105756613,86.7平米,170万,平层/精装,19608元/平米, 5个月以前发布,5人关注 
72,N101105739334,89平米,170万,平层/精装,19102元/平米, 5个月以前发布,4人关注 
73,N101106781036,90平米,170万,精装,18889元/平米, 23天以前发布,1人关注 
74,N101106789842,90.04平米,170万,其他,18881元/平米, 11天以前发布,1人关注 
75,N101105935255,89.15平米,170万,平层/精装,19069元/平米, 4个月以前发布,3人关注 
76,N101105754083,88平米,170万,精装,19319元/平米, 5个月以前发布,0人关注 
77,N101103806625,89平米,175万,平层/精装,19663元/平米, 一年前发布,23人关注 
78,N101105723791,84.6平米,175万,简装,20686元/平米, 5个月以前发布,3人关注 
79,N101104884769,90平米,175万,精装,19445元/平米, 8个月以前发布,2人关注 
80,N101104876156,88.24平米,175万,精装,19833元/平米, 8个月以前发布,1人关注 
81,N101106406924,91.6平米,178万,平层/精装,19433元/平米, 2个月以前发布,14人关注 
82,N101104669943,95.44平米,180万,平层/精装,18861元/平米, 9个月以前发布,22人关注 
83,N101105282598,87.4平米,180万,平层/精装,20595元/平米, 6个月以前发布,14人关注 
84,N101106174293,86.7平米,185万,平层/精装,21338元/平米, 3个月以前发布,2人关注 
85,N101106316721,97平米,185万,平层/简装,19073元/平米, 2个月以前发布,4人关注 
86,N101105988053,88.28平米,185万,平层/精装,20957元/平米, 4个月以前发布,20人关注 
87,N101105820935,95.68平米,186万,平层/精装,19440元/平米, 4个月以前发布,9人关注 
88,N101105957028,90.29平米,190万,平层/精装,21044元/平米, 4个月以前发布,1人关注 
89,N101105879864,91平米,198万,平层/精装,21759元/平米, 4个月以前发布,13人关注 
90,N101106678331,88.7平米,200万,精装,22548元/平米, 1个月以前发布,0人关注 
91,N101106080608,84平米,200万,精装,23810元/平米, 3个月以前发布,1人关注 
92,N101105089568,85.48平米,200万,精装,23398元/平米, 7个月以前发布,0人关注 
93,N101106493612,109.89平米,210万,平层/精装,19111元/平米, 2个月以前发布,31人关注 
94,N101104884686,125.05平米,228万,平层/精装,18233元/平米, 8个月以前发布,71人关注 
95,N101105656064,125.21平米,230万,平层/简装,18370元/平米, 5个月以前发布,42人关注 
96,N101106573832,127平米,240万,毛坯,18898元/平米, 2个月以前发布,2人关注 
97,N101106017852,125平米,240万,平层/精装,19200元/平米, 4个月以前发布,6人关注 
98,N101106482992,125.84平米,240万,平层/精装,19072元/平米, 2个月以前发布,25人关注 
99,N101105624076,124.38平米,240万,平层/毛坯,19296元/平米, 5个月以前发布,26人关注 
100,N101104903691,124.63平米,240万,平层/精装,19258元/平米, 8个月以前发布,47人关注 
101,N101106510832,125.21平米,245万,平层/精装,19568元/平米, 2个月以前发布,42人关注 
102,N101106215347,126平米,250万,平层/精装,19842元/平米, 3个月以前发布,2人关注 
103,N101106426864,125.84平米,254万,平层/精装,20185元/平米, 2个月以前发布,8人关注 
104,N101106500732,119.09平米,255万,平层/精装,21413元/平米, 2个月以前发布,4人关注 
105,N101104884588,125.21平米,255万,平层/精装,20366元/平米, 8个月以前发布,14人关注 
106,N101105303542,148.5平米,257万,平层/精装,17307元/平米, 6个月以前发布,47人关注 
107,N101105837592,128平米,260万,精装,20313元/平米, 4个月以前发布,4人关注 
108,N101105447025,125.84平米,260万,平层/精装,20662元/平米, 6个月以前发布,9人关注 
109,N101106665509,124.41平米,260万,精装,20899元/平米, 1个月以前发布,0人关注 
110,N101105460983,118平米,260万,平层/精装,22034元/平米, 6个月以前发布,0人关注 
111,N101105842070,118平米,265万,精装,22458元/平米, 4个月以前发布,0人关注 
112,N101105725370,123平米,268万,平层/精装,21789元/平米, 5个月以前发布,2人关注 
113,N101104942818,117平米,270万,其他,23077元/平米, 8个月以前发布,0人关注 
114,N101105645219,132平米,300万,精装,22728元/平米, 5个月以前发布,2人关注 
115,N101106345417,148.88平米,305万,精装,20487元/平米, 2个月以前发布,2人关注 
116,N101105456525,86.78平米,307.8万,精装,35470元/平米, 6个月以前发布,7人关注 
117,N101104457936,151.19平米,315万,平层/精装,20835元/平米, 10个月以前发布,11人关注 
118,N101105370266,94.15平米,320万,精装,33989元/平米, 6个月以前发布,5人关注 
119,N101105405018,144.6平米,320万,平层/精装,22131元/平米, 6个月以前发布,2人关注 
120,N101103243698,148.92平米,360万,跃层/精装,24175元/平米, 一年前发布,12人关注 
121,N101105879854,182.8平米,366万,精装,20022元/平米, 4个月以前发布,10人关注 
122,N101104709871,183.14平米,370万,平层/简装,20204元/平米, 9个月以前发布,7人关注 
123,N101106498943,148平米,379万,平层/精装,25609元/平米, 2个月以前发布,1人关注 
124,N101105536710,157.42平米,390万,精装,24775元/平米, 5个月以前发布,1人关注 
125,N101105210161,185.36平米,395万,平层/精装,21310元/平米, 7个月以前发布,8人关注 
126,N101104737284,183.6平米,400万,平层/精装,21787元/平米, 8个月以前发布,6人关注 
127,N101104884498,180.41平米,457.5万,平层/精装,25359元/平米, 8个月以前发布,2人关注 
